Layer,Name,GEOID,Population,Longitude,Latitude,HCSPAP_2023-2024,HCSPAP_2023-2024_moe95,HCSSP_2023-2024,HCSSP_2023-2024_moe95,CHANVYI_2023,CHANVYI_2023_moe95,INC_2020-2024,INC_2020-2024_moe95,PCI_2020-2024,PCI_2020-2024_moe95,EKR_2024,EKR_2024_moe95,HCSFVAP_2023-2024,HCSFVAP_2023-2024_moe95,HCSSMKP_2023-2024,HCSSMKP_2023-2024_moe95,HCSECP_2023-2024,HCSECP_2023-2024_moe95,CHAYJCO_2022-2024,CHAYJCO_2022-2024_moe95,HCSEC_2023-2024,HCSEC_2023-2024_moe95,CHAQHIB_2022-2024,CHAQHIB_2022-2024_moe95,LEQ_2020-2024,LEQ_2020-2024_moe95,POP_2020-2024,POP_2020-2024_moe95,HCSZKLF_2023-2024,HCSZKLF_2023-2024_moe95,TSD_2024,TSD_2024_moe95,CHM_2024,CHM_2024_moe95,EKG_2024,EKG_2024_moe95,TNF_2020-2024,TNF_2020-2024_moe95,HTA_2020-2024,HTA_2020-2024_moe95,CHADXHPR_2021,CHADXHPR_2021_moe95,CCR_2017-2021,CCR_2017-2021_moe95,CCP_2017-2021,CCP_2017-2021_moe95,CCG_2017-2021,CCG_2017-2021_moe95,CCC_2017-2021,CCC_2017-2021_moe95,CCO_2017-2021,CCO_2017-2021_moe95,HCSATHP_2023-2024,HCSATHP_2023-2024_moe95,HCSDIAP_2023-2024,HCSDIAP_2023-2024_moe95,HCSHYTP_2023-2024,HCSHYTP_2023-2024_moe95,HCSOBP_2023-2024,HCSOBP_2023-2024_moe95,CHAVQOS_2023-2024,CHAVQOS_2023-2024_moe95,HCSUMHAP_2023-2024,HCSUMHAP_2023-2024_moe95,MEODL_2023,MEODL_2023_moe95
(Indicator name),,,,,,"Adult physical inactivity rate (% of adults), 2023-2024",(95% margin of error),"Adult soda consumption rate (% of adults), 2023-2024",(95% margin of error),"Active business license rate (licenses per 1,000 residents as of October 24), 2023",(95% margin of error),"Median household income, 2020-2024",(95% margin of error),"Per capita income, 2020-2024",(95% margin of error),"Proximity to roads, railways, and airports index, 2024",(95% margin of error),"Easy access to fruits and vegetables rate (% of adults), 2023-2024",(95% margin of error),"Adult smoking rate (% of adults), 2023-2024",(95% margin of error),"Adult e-cigarette use rate (% of adults), 2023-2024",(95% margin of error),"Exclusive menthol use (count of adults), 2022-2024",(95% margin of error),"Adult e-cigarette use (count of adults), 2023-2024",(95% margin of error),"Any menthol use rate (% of adults), 2022-2024",(95% margin of error),"Limited English proficiency (% of residents), 2020-2024",(95% margin of error),"Population (residents), 2020-2024",(95% margin of error),"Disability (% of adults), 2023-2024",(95% margin of error),"Proximity to hazardous waste management sites (distance-weighted sites), 2024",(95% margin of error),"Proximity to potential chemical accidents (distance-weighted sites), 2024",(95% margin of error),"Green space proximity (% of area), 2024",(95% margin of error),"Public assistance income (cash welfare) (% of households), 2020-2024",(95% margin of error),"Single-parent households (% of households), 2020-2024",(95% margin of error),"COVID-19 hospitalization rates (rate per 100,000 population), 2021",(95% margin of error),"Cancer diagnosis rate (per 100,000 population), 2017-2021",(95% margin of error),"Prostate cancer diagnosis rate (per 100,000 male population), 2017-2021",(95% margin of error),"Lung cancer diagnosis rate (per 100,000 population), 2017-2021",(95% margin of error),"Cervical cancer diagnosis rate (per 100,000 female population), 2017-2021",(95% margin of error),"Colorectal cancer diagnosis rate (per 100,000 population), 2017-2021",(95% margin of error),"Adult asthma rate (% of adults), 2023-2024",(95% margin of error),"Adult diabetes rate (% of adults), 2023-2024",(95% margin of error),"Hypertension rate (% of adults), 2023-2024",(95% margin of error),"Adult obesity rate (% of adults), 2023-2024",(95% margin of error),"Adult loneliness rate (percent of adults), 2023-2024",(95% margin of error),"Unmet mental health treatment need among moderate or serious psychological distress rate (% of adults), 2023-2024",(95% margin of error),"Opioid-related overdose mortality (Chicago location) (count of deaths), 2023",(95% margin of error)
(Definition),,,,,,"Percent of adults who reported that they did not participate in any physical activities or exercises in the past month.",,"Percent of adults who drank soda or pop or other sweetened drinks like sweetened iced tea, sports drinks, fruit punch or other fruit-flavored drinks at least once per day in the past month.",,"Count of active business licenses per 1,000 residents",,"Income in the past 12 months.",,"Income in the past 12 months.",,"Percentile rank representing a place's proximity to airports, high-volume roads, and railways. Higher values indicate closer proximity",,"Percent of adults who reported that it is very easy for them to get fresh fruits and vegetables.",,"Percent of adults who report that they've smoked at least 100 cigarettes in their life and report that they now smoke cigarettes every day or some days.",,"Percent of adults who report that they have used electronic cigarettes in the past 30 days (2014-2018), or percent of adults who reported that they currently use electronic cigarettes 'Every day' or 'Some days' (2020-current)",,"Adult current smokers who reported using menthol cigarettes 'All of the time'",,"Number of adults who report that they have used electronic cigarettes in the past 30 days (2014-2018), or number of adults who reported that they currently use electronic cigarettes 'Every day' or 'Some days' (2020-current)",,"Adult current smokers who reported using menthol cigarettes 'All, most, or some of the time'",,"Percentage of residents 5 years and older who do not speak English 'very well'.",,"Average population over the time period.",,"Percent of adults with a disability, defined as one or more sensory disabilities or difficulties with everyday tasks, reported by Healthy Chicago Survey.",,"A measure of proximity to hazardous waste management sites, defined as the count of hazardous waste Treatment, Storage, and Disposal Facilities (TSDFs) within 5km (or the closest one further than 5km), each divided by distance in km. Higher values indicate closer proximity to major sites.",,"A measure of proximity to potential chemical accidents, defined as the count of proposed and listed RMP (potential chemical accident management plan) sites within 5km (or the closest one further than 5km), each divided by distance in km. Higher values indicate closer proximity to major sites.",,"Proportion of a geography's area within 1 mile of green space",,"Percent of households reporting public assistance income over the past 12 months. This includes general assistance and Temporary Aid to Needy Families (TANF), or cash public assistance. This excludes Supplemental Security Income (SSI) and noncash benefits such as food stamps.",,"Percentage of households that have children present and are headed by a single parent (mother or father), with no partner present.",,"Rate of hospitalizations among COVID-19 cases per 100,000 population",,"Annual diagnosis rate for all invasive cancers. Does not include pre-cancerous diagnoses such as breast cancer in situ or urinary cancer in situ. All ages, risk-adjusted.",,"Annual diagnosis rate for prostate cancer. Ages 15 and over, age-adjusted.",,"Annual diagnosis rate for lung and bronchus cancer. Ages 15 and over, risk-adjusted.",,"Annual diagnosis rate for cervical cancer. Ages 15 and over, age-adjusted.",,"Annual diagnosis rate for colorectal cancer. Ages 15 and over, risk-adjusted.",,"Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with asthma, and they currently have asthma.",,"Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with diabetes (excludes pre-diabetes or diabetes only during pregnancy).",,"Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with high blood pressure (excludes borderline high, pre-hypertensive or hypertension diagnosed only during pregnancy).",,"Percent of adults who reported a height and weight that yield a body mass index of 30 or greater.",,"Percent of adults who reported being lonely based on how often they felt they lacked companionship, felt left out, and felt alone",,"Estimated percent of adults aged 18 years and older who were classified as having moderate or serious psychological distress and reported that they are not currently taking medicine or receiving treatment from a doctor or other health professional for any mental health condition or emotional problem.",,"Total number of individuals who died from an opioid-related drug overdose at a location in Chicago, even if they did not reside in Chicago.",
(Citation),,,,,,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Data Portal",,"U.S. Census Bureau - American Community Survey (Table B19013)",,"U.S. Census Bureau - American Community Survey (Table B19301)",,"Agency for Toxic Substances and Disease Registry (ATSDR) - Environmental Justice Index",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"U.S. Census Bureau - American Community Survey (Table B16004)",,"U.S. Census Bureau - American Community Survey (ACS: Table B01001; Decennial Census: Table P012)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Environmental Protection Agency - Environmental Justice Screening (EJScreen) (EJSCREEN (TSD))",,"Environmental Protection Agency - Environmental Justice Screening (EJScreen) (EJSCREEN)",,"Agency for Toxic Substances and Disease Registry (ATSDR) - Environmental Justice Index",,"U.S. Census Bureau - American Community Survey (Table B19057)",,"U.S. Census Bureau - American Community Survey (Table B11012)",,"Illinois Department of Public Health- Illinois Disease Surveillance System (IDSS), Illinois Department of Public Health - ESSENCE (National Syndromic Surveillance Program)",,"Illinois Department of Public Health - Illinois State Cancer Registry (ISCR) (Calculated by Metopio)",,"Illinois Department of Public Health - Illinois State Cancer Registry (ISCR) (Calculated by Metopio)",,"Illinois Department of Public Health - Illinois State Cancer Registry (ISCR) (Calculated by Metopio)",,"Illinois Department of Public Health - Illinois State Cancer Registry (ISCR) (Calculated by Metopio)",,"Illinois Department of Public Health - Illinois State Cancer Registry (ISCR) (Calculated by Metopio)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Chicago Department of Public Health - Healthy Chicago Survey (HCS)",,"Cook County Medical Examiner",
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,55454,-87.67017100,42.00963000,28.643760564,9.229960175016,17.926303322,8.992950869224,9.35910845,,63293.40698066556,7066.728222373276,40324.957268060825,4146.721808062272,72.07856878276883,,54.958366968,10.405380180636,12.813936759,7.621746309744,11.883884846,7.17628113496,,,6300.0,4052.3451821159997,,,16.137010439363735,3.035842484652575,54023.51404694976,,35.11633809,10.37498333424,4.005720120366298,,0.39185180216743853,,100.0,,3.975012879097688,1.7281200288604612,1.9707602608349992,1.217522276088792,362.1,,476.256279761974,29.131383376112687,106.22909974369875,19.5350030090028,47.6237106304965,9.431651952501998,9.902377079,5.556633720840097,53.89432722769821,10.004835864239999,8.6977029395,5.067389132063999,9.8117570164,5.115010345368,29.22630899,10.18223108658,29.621429724,9.667553833,44.047494927,10.540032304899999,59.786253011,13.752186964376,33.0,
Community area,Norwood Park,10,41069,-87.80345100,41.98524800,27.945806489,12.158924769376,13.714223733,8.9552160047,8.619640118,,114149.65984845998,13136.9831833698,52389.36930003792,4286.507573746054,72.07903651179812,,62.897489196,12.122652909612,4.9037303174,3.984634363752,,,,,,,,,10.056848506218385,2.482769388930964,42638.430864951515,,21.55232348,10.29397694388,5.351265540181489,,0.9644534992012832,,100.0,,2.384295231431931,1.556255968222603,3.7973242933636975,2.0546973297573032,482.3,,538.8719349561379,30.04932662311548,128.55434503393522,20.997413660697383,55.83786949501001,9.46418861223157,,,57.58844080284136,9.863021026068068,8.4420137744,6.333662648796,18.547609548,10.946323527104001,37.225356184,12.336342506235999,22.483415622,10.278978356892,21.562906446,11.107309857979999,61.737621904,23.54429212436,3.0,
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,23.675622839,13.748052326932,22.584667264,15.839295901044,11.1446128,,97374.54676004623,14891.629652401776,49676.47738960594,4391.707287467066,72.07992134844683,,62.561323243,13.108220506584,9.5521939476,7.437271434907999,,,,,,,69.84964699,23.1679474852,18.936546331622306,4.275707010602566,26634.542326773037,,16.02129695,10.89075162084,6.034319776857303,,0.7863116981309947,,100.0,,2.4340709897230264,2.8509308137573,3.7911610406646394,3.027322001882239,452.7,,524.499157603259,38.7900596059647,121.23003635333389,26.686274430263502,54.54173834,12.537471630800733,8.846148224729566,7.0885094810388685,47.98842668158319,11.696942885694446,,,15.319060187,11.883779079927999,27.840770422,10.676533311472001,29.114070578,12.89675736804,27.000548355,11.289182063516,55.338160313,23.6440282708,7.0,
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,18.627435973,10.0546675971,12.503235934,9.82166994816,10.82792788,,139311.02517710617,23577.940681622465,70943.73852893911,12503.798294983824,68.44779046073684,,81.818429394,11.062626045716,,,,,,,,,,,9.381928417507499,3.439472175421313,19886.375072714927,,16.40522283,11.37232128256,5.879652648963279,,0.6905577409505506,,100.0,,2.6871359366073775,2.938117650752537,3.4845753906861803,2.8098534976102174,448.0,,541.3233195512408,45.0923731503636,125.8822231267118,30.221998039021056,53.27387652552317,13.908791774460608,9.901626089283596,8.89510943636,60.356530466735066,14.74918838344,10.185759312,9.492863153703999,9.6872780549,7.116497679284,42.536637517,14.436142680064,23.222620709,11.958046631412,8.7430955823,7.36540036876,66.271608748,29.65966235624,0.0,
Community area,North Park,13,17522,-87.72357800,41.98365100,16.404830071,10.066540354528,27.362185536,18.390309991592,13.58292432,,68716.37674567565,20719.841837784934,38549.46020346622,6353.905608667473,43.65519498562752,,58.808186724,16.848437904088,8.4915725884,6.243928417244,,,,,,,,,20.166315869275213,5.063401935057808,18307.61022482388,,14.07909087,8.336050220119999,5.654139324608308,,0.5585296617019238,,100.0,,4.037321587861438,3.4117375961929097,6.672817303171222,5.0504457733807495,376.7,,497.139892973297,44.85432287335466,104.02633017469748,28.989491137970884,49.01897530989741,13.57345346110396,,,49.30333486593663,13.974950365542227,6.4878012916,5.808946749732,17.796202994,13.575696395716,45.934451848,17.488866382540003,27.881574183,16.860863348587998,30.247027564,15.698225217387998,81.271934216,14.973254417828,1.0,
Community area,Albany Park,14,48549,-87.72155800,41.96807800,28.683943453,10.741102141056,8.6769470699,6.549856875128,13.90347896,,87083.51175687861,11989.997461458426,43335.090602962984,3932.3270737516336,65.0197682605714,,45.420301434,11.831317347135998,10.688439261,9.252198776408,12.224172801,9.875096946456,,,5200.0,4574.889965855999,76.9444206,21.518256312000002,29.562341383948667,4.445528549722832,45707.82125877903,,24.78956346,9.5526572512,4.37749233831466,,0.6707215302352193,,100.00000000000001,,2.7182228947756846,1.3830420185389385,4.430268419553294,1.955340741616414,273.4,,428.1751780326261,29.598389428501104,98.10810864382177,20.720123145805207,37.42161718,9.074113658607992,13.505650014914458,7.034444844062962,46.877602342851326,9.89607984965121,16.048566167,8.668259040868001,19.044144132,9.266837171452,24.838327881,10.659130772920001,29.571025639,11.38401100382,35.628542427,12.124383709367999,74.192390033,12.670486814636,3.0,
