name,latitude,longitude,type,rating
Hartigan,42.0027,-87.6564,beach,4.4
Leone,42.0131,-87.6635,beach,4.6
Marion Mahony Griffin,42.0161,-87.6647,beach,4.6
Osterman,41.9877,-87.6545,beach,4.6
Foster,41.9785,-87.6515,beach,4.6
Humboldt,41.90643,-87.703717,beach,4.4
Montrose,41.9655,-87.6385,beach,4.6
North Avenue,41.9148,-87.6273,beach,4.6
Oak Street,41.9032,-87.6235,beach,4.6
Ohio Street,41.8935,-87.6152,beach,4.6
12th Street,41.8638,-87.6083,beach,4.5
57th Street,41.7911,-87.5797,beach,4.5
63rd Street,41.7827,-87.5748,beach,4.5
Margaret T Burroughs,41.8393,-87.6072,beach,4.5
Oakwood,41.8211,-87.5976,beach,4.5
South Shore,41.7689,-87.5636,beach,4.5
Calumet,41.7142,-87.5299,beach,4.5
Rainbow,41.758,-87.551,beach,4.5
Howard,42.0188,-87.6663,beach,4.5
Rogers,42.0213,-87.6666,beach,4.5
Juneway,42.0224,-87.6674,beach,4.5
Fargo,42.0161,-87.6647,beach,4.6
Montrose Dog,41.96869,-87.642617,beach,4.7
Columbia,42.0050541,-87.6571159,beach,4.5
Lane,41.9877,-87.6545,beach,4.6
Loyola,42.0131,-87.6635,beach,4.6
North Shore,42.0027,-87.6564,beach,4.4
