name,rating,latitude,longitude,type
The Blackstone A Renaissance Hotel,4,41.8733563,-87.6247907,hotel
The Westin Chicago River North,4,41.888,-87.6299,hotel
The Midland Hotel,4,41.8795,-87.6332,hotel
Majestic Hotel,2.5,41.9475,-87.6442,hotel
City Suites Hotel,2.5,41.9397689,-87.6528805,hotel
Swissotel Chicago,4,41.8873452,-87.6195255,hotel
Hilton Garden Inn Chicago Downtown/Magnificent Mile,3,41.8919297,-87.6272228,hotel
Embassy Suites Hotel Chicago Downtown Lakefront,3.5,41.8914173,-87.6196669,hotel
Springhill Suites Chicago Downtown / River North,3,41.8896644,-87.6298061,hotel
BEST WESTERN Plus Hawthorne Terrace Hotel,3,41.9441264,-87.6460609,hotel
The Sutton Place Hotel,4,41.9013573,-87.6274661,hotel
Wyndham Blake Chicago,3.5,41.87514,-87.6295038,hotel
Courtyard by Marriott Chicago Downtown,3.5,41.8932,-87.6229,hotel
Residence Inn Chicago Downtown,3,41.8998458,-87.6213927,hotel
Chicago's Essex Inn,3,41.8714905,-87.6247391,hotel
Amber Inn,3,41.823089,-87.622953,hotel
Mark Twain Hotel,3,41.903809,-87.632028,hotel
Steps to Everything - Navy Pier 31,2.5,41.8898225,-87.6181409,hotel
Suite Home Chicago - One Superior Place,5,41.8954273,-87.6290174,hotel
Congress Plaza Hotel,3,41.8749587,-87.6248317,hotel
Ramada Inn Lake Shore - Chicago,2,41.8055748,-87.5854755,hotel
Red Roof Inn,2,41.8936029,-87.6229595,hotel
The Standard Club,4,41.877684,-87.6290181,hotel
Travelodge Chicago Downtown,2,41.8744804,-87.6265149,hotel
University Club of Chicago,4,41.8810139,-87.6249695,hotel
Heart O' Chicago Motel,2,41.9904246,-87.67239,hotel
BEST WESTERN Grant Park Hotel,2.5,41.8691254,-87.6246855,hotel
Holiday Inn Chicago O'Hare,3,41.9818517,-87.83565,hotel
Hyatt Chicago Magnificent Mile,4,41.8938944,-87.6225092,hotel
Habitat Corporate Suites at Presidential Towers,4,41.8816335,-87.641616,hotel
Elms Hotel,5,41.9034,-87.6280676,hotel
East of the Ryan,3.5,41.7515866,-87.6018982,hotel
Best Motel,3,41.7753687,-87.6149868,hotel
Fairfield Inn & Suites Chicago Downtown/River North,2.5,41.8909091,-87.6300261,hotel
Aloft Chicago City Center,4.3,41.8914217,-87.6294449,hotel
Midway Inn,3,41.7961879,-87.7231353,hotel
Wrigleyville 50,2.5,41.9566615,-87.9336721,hotel
Steps to Everything - Gold Coast 10,3,41.9092598,-87.6324753,hotel
Royalton Hotel,3,41.8777982,-87.6722186,hotel
Royal Michigan Motel,4,41.8261017,-87.6232429,hotel
Oakwood North Harbor Tower,5,41.8854448,-87.6154758,hotel
Oakwood At Eugenie Terrace,3.5,41.9137761,-87.6338377,hotel
Hyatt Place Chicago/River North,4.5,41.8911872,-87.6309174,hotel
