name,latitude,longitude,type,rating
Manuel Perez Jr Plaza,41.84388523477889,-87.73298845343939,plaza,4.4
Midway Plaza,41.88900910197107,-87.76796695926757,plaza,4.4
Wentworth Plaza,41.851023009735776,-87.6317822152654,plaza,4.3
Burton-Wells Plaza,41.909154813931316,-87.63429700584591,plaza,4.3
Jefferson Park Plaza,41.96977847800613,-87.7620608898237,plaza,4.3
Jefferson Park Mall,41.969557146133404,-87.76157395220044,mall,4.4
Englewood Plaza,41.77943238791344,-87.64600646527964,plaza,4.3
Sunnyside Mall,41.9634979322961,-87.66236507408921,mall,4.4
Wisconsin Mall,41.91600950831596,-87.64994108340198,plaza,4.3
Ogden Mall,41.91630393273348,-87.63838864322658,plaza,4.3
Emerald-34th Plaza,41.83258526071567,-87.64526055700091,plaza,4.3
Joe DiMaggio Park,41.8695747736221,-87.66287209913405,park,4.4
Vernon Park,41.87284835326797,-87.65430913584805,park,4.4
Morgan Park,41.87186985348632,-87.65152112469089,park,4.4
Ohio Place Park,41.89265453589484,-87.63746859887819,park,4.5
Jefferson Park East,41.97146236235283,-87.76237852454084,park,4.5
Stockyard Stonegates,41.81862886412431,-87.6487125631614,landmark,4.3
The Chicago Theatre,41.8854975,-87.6275635,theatre,4.7
Medieval Torture Museum,41.8853686,-87.6275292,museum,4.9
Drunk Shakespeare Chicago,41.8854929,-87.6268469,theatre,4.9
Theatre Dreams Chicago,41.8853452,-87.6276195,theatre,4.8
Gene Siskel Film Center,41.8849174,-87.628388,theatre,4.7
James M. Nederlander Theatre,41.8847306,-87.6289876,theatre,4.7
Five Iron Golf,41.8843349,-87.6289894,entertainment,4.9
AMC DINE-IN Block 37,41.8836293,-87.628758,theatre,4.3
Broadway In Chicago,41.8825663,-87.6272967,theatre,4.1
League of Chicago Theatres,41.8825387,-87.625614,theatre,4.9
McCormick Tribune Plaza,41.8826792,-87.62394,plaza,4.5
Cloud Gate,41.8825545,-87.6236723,landmark,4.7
Topgolf Chicago (Naperville),41.799372,-88.205902,entertainment,4.5
WhirlyBall Chicago,41.950329,-87.740604,entertainment,4.6
Lucky Strike Chicago,41.891704,-87.624303,entertainment,4.4
Punch Bowl Social Chicago,41.895428,-87.625645,entertainment,4.3
Emporium Arcade Bar (Wicker Park),41.908779,-87.677292,entertainment,4.6
Altitude Chicago Trampoline Park,41.991599,-87.656792,entertainment,4.5
Windy City Fieldhouse,41.939685,-87.670789,entertainment,4.6
Maggie Daley Park Skating Ribbon,41.882552,-87.622554,entertainment,4.7
McFetridge Sports Center,41.972704,-87.709558,entertainment,4.5
Brooklyn Boulders Chicago,41.893938,-87.653821,entertainment,4.7
