name,latitude,longitude,type,rating
International Cinema Museum,41.893837,-87.63675,museum,4.5
Serbian American Museum St Sava,41.937843,-87.6413,museum,4.8
Field Museum of Natural History,41.865055,-87.61736,museum,4.5
Spertus Museum,41.87419,-87.62447,museum,4.5
Loyola University Museum of Art,41.89743,-87.6244,museum,4.5
Cambodian Amrcn Heritage Museum,41.968395,-87.69999,museum,4.8
Museum of Science and Industry,41.791855,-87.58045,museum,4.7
Museum of Broadcast Communications,41.88899,-87.62818,museum,4.4
Museum of Illusions Chicago,41.88306,-87.6273,museum,4.6
Glessner House Museum,41.857803,-87.62096,museum,4.7
Leather Archives S & M Museum,41.998737,-87.66814,museum,4.7
Chicago Maritime Museum,41.830784,-87.655914,museum,4.8
Chicago Sports Museum,41.892025,-87.60755,museum,4.5
Chicago History Museum,41.91202,-87.63196,museum,4.7
Chicago Blues Museum Gallery,41.827595,-87.65951,museum,4.4
National Veterans Art Museum,41.954315,-87.748474,museum,4.6
Heritage Museum of Asian Art,41.830480,-87.651506,museum,4.6
Chicago Design Museum,41.884666,-87.62558,museum,4.5
Museums in Hand,41.878784,-87.63654,museum,5.0
Bronzeville Childrens Museum,41.725857,-87.58479,museum,4.1
Yollocalli Youth Museum,41.85774,-87.66161,museum,4.8
Smart Museum of Art,41.794678,-87.59959,museum,4.5
Bicycle Museum of America,41.89093,-87.616905,museum,4.6
American Writers Museum,41.8853,-87.62475,museum,4.8
National Pullman Porter Museum,41.705406,-87.60296,museum,4.7
Hellenic Museum,41.884766,-87.624725,museum,4.6
Museum of Contemporary Art,41.89691,-87.621605,museum,4.5
Chicago Baseball Museum,41.93681,-87.64788,museum,4.1
Oriental Institute Museum,41.789497,-87.597565,museum,4.8
Museum of Sports History,41.89253,-87.61999,museum,4.5
Depaul Art Museum,41.925278,-87.65248,museum,4.6
Chicago Blues Museum,41.8372,-87.6851,museum,4.4
Richard H. Driehaus Museum,41.89424,-87.62644,museum,4.7
Swedish American Museum,41.976585,-87.668236,museum,4.7
Haitian American Museum of Chicago,41.96638,-87.65981,museum,4.8
Museum Campus,41.868797,-87.61728,museum,4.8
National Public Housing Museum,41.8929,-87.64075,museum,4.4
Ukrainian National Museum,41.894714,-87.6842,museum,4.8
Sackrider Museum of Handbags,41.926105,-87.701294,museum,4.9
Fire Museum of Chicago,41.79907,-87.68438,museum,4.6
Chinese-American Museum of Chicago,41.851124,-87.63346,museum,4.6
America's Children's Museum On,41.911507,-87.67947,museum,4.0
Museum of Law & Science,41.776703,-87.676094,museum,4.0
Clarke House Museum,41.857536,-87.62208,museum,4.5
O'Brien Museum,41.895393,-87.63434,museum,4.5
Hands On Childrens Art Museum,41.70675,-87.667305,museum,4.5
Smith Museum-Stained Glass Wnd,41.89199,-87.6095,museum,4.7
Lithuanian Museum,41.791664,-87.68276,museum,4.7
National Hellenic Museum,41.87717,-87.64706,museum,4.6
Peggy Notebeart Nature Museum,41.904297,-87.630165,museum,4.5
Museums in the Park,41.88071,-87.62354,museum,4.5
Jane Addams Hull-House Museum,41.87154,-87.64729,museum,4.6
Polish Museum of America,41.899723,-87.66109,museum,4.6
Indo-American Heritage Museum,41.99654,-87.6998,museum,4.8
Museum of Contemporary Photography,41.874413,-87.62448,museum,4.5
National Mexican Museum of Art,41.85587,-87.67348,museum,4.8
Peace Museum,41.88163,-87.715996,museum,4.5
Chicago Children's Museum,41.892025,-87.60755,museum,4.4
Art Institute of Chicago,41.8796,-87.6237,museum,5.0
National Museum of Mexican Art,41.8559,-87.6735,museum,4.6
Chicago Children’s Museum,41.8920,-87.6076,museum,4.4
Adler Planetarium,41.8665,-87.6066,planetarium,4.2
