name,rating,latitude,longitude,type
Imperial Restaurant,4.1,41.8545544,-87.6322747,restaurant
Hoanh Long Vietnamese & Chinese Restaurant,4.4,41.9937167,-87.7132667,restaurant
So Bowl,4.6,42.0118433,-87.783817,restaurant
Tasty Asian Restaurant,4.1,41.9456033,-87.6464795,restaurant
Dolo Restaurant and Bar,4.3,41.8525451,-87.6360999,restaurant
Little Vietnam Restaurant,4.6,41.9839394,-87.6594231,restaurant
Asian Station,4.7,42.007726,-87.665561,restaurant
Clark Street Dog,4.3,41.9374572,-87.6489609,restaurant
Wok Cuisine,4.4,41.9644955,-87.7088047,restaurant
Le Colonial Chicago,4.5,41.9005227,-87.6260999,restaurant
PhÂ·ÂªÃ¼ 777,4.2,41.9731221,-87.6574066,restaurant
China Kitchen,4.1,42.3198264,-87.8656701,restaurant
Umai,4.5,41.8725288,-87.6308608,restaurant
Shine,4.4,41.9219369,-87.6484005,restaurant
Rose Mary,4.5,41.8869519,-87.6511541,restaurant
Immm Rice & Beyond,4.5,41.9730214,-87.6595058,restaurant
Beerability slots,4.3,42.3268471,-87.8390508,restaurant
Little Bad Wolf,4.6,41.9833483,-87.6690624,restaurant
Cafe El Tapatio,4.4,41.943492,-87.66908,restaurant
Kin Sushi & Thai Cuisine,4.4,41.9021698,-87.6650743,restaurant
Burger King,3.5,42.3159928,-87.8652104,restaurant
Little Wok - Lakeview,4.3,41.9390051,-87.6446044,restaurant
Que Onda Mexican Restaurant,4.4,42.0030021,-87.8161179,restaurant
Pingpong,4.4,41.9424504,-87.6446261,restaurant
Wingstop,3.7,42.3197465,-87.8653266,restaurant
Steak 48,4.5,41.892992,-87.6264649,restaurant
Orange Garden Restaurant,4.1,41.9543806,-87.6780553,restaurant
Little Wok - Wicker Park,4.2,41.9033844,-87.6769543,restaurant
Rollapalooza,4.6,41.9431889,-87.6494917,restaurant
HaiSous Vietnamese Kitchen,4.5,41.8578927,-87.6533712,restaurant
VN Tofu & Fast Food,4.4,41.9734683,-87.6560269,restaurant
China Palace,3.8,41.9896698,-87.6593866,restaurant
House of Wah Sun,4.4,41.954162,-87.7095838,restaurant
Chilam Balam,4.5,41.9372342,-87.6440711,restaurant
Su Casa Mexican Restaurant,3.9,41.8931091,-87.6261703,restaurant
Girl & The Goat,4.7,41.8841279,-87.6479354,restaurant
China Kitchen,4,41.975763,-87.6775374,restaurant
RAMEN-SAN,4.4,41.8898705,-87.6303577,restaurant
Jin Ju,4.6,41.9764,-87.6682556,restaurant
Jeong,4.8,41.8962398,-87.6648334,restaurant
Tamaleria And Restaurant Isabel,4.4,42.3411469,-87.8413662,restaurant
Andros Taverna,4.5,41.9273607,-87.7048376,restaurant
Asian Eats Chicago,5,41.9734741,-87.6557125,restaurant
Margaritaville - Chicago,3.5,41.8913811,-87.608249,restaurant
Miss Saigon Restaurant,4.5,41.9731607,-87.6589699,restaurant
Viaggio Restaurant Chicago,4.7,41.8814642,-87.6531605,restaurant
Nia's Hot Slots and Pizzeria,3,42.3191451,-87.8626167,restaurant
Bodega Sur,4.7,41.9505503,-87.6637842,restaurant
S.K.Y.,4.7,41.8578178,-87.657778,restaurant
Rice'N Bread,4.7,41.9446107,-87.6541123,restaurant
urbanbelly,4.4,41.9094907,-87.677595,restaurant
Min Min Asian Cafe,4,41.9541143,-87.6666783,restaurant
China Cafe,3.8,41.9695985,-87.6553715,restaurant
Silk Road of Chicago,4.2,41.8813636,-87.6317809,restaurant
EL G-FE,4.3,41.8049129,-87.7434941,restaurant
Big Bowl Chinese Express,2.9,41.891322,-87.6077877,restaurant
Double Happiness,4.6,41.973132,-87.6573839,restaurant
Friendship Chinese,4.4,41.9325159,-87.713532,restaurant
Kitchen + Kocktails by Kevin Kelley Chicago,4,41.8906471,-87.6268582,restaurant
Lao Sze Chuan,4.2,41.9700191,-87.6600111,restaurant
Strings Ramen Shop Lakeview,4.6,41.9397698,-87.6523433,restaurant
Okami Sushi Chicago,4.7,41.909201,-87.7956417,restaurant
Niu Japanese Fusion Lounge,4.4,41.891168,-87.618685,restaurant
Honeymoon Cafe,4.3,41.9733452,-87.6593964,restaurant
Original Maxwell Street,3.9,41.8771027,-87.7454455,restaurant
Uvae Kitchen and Wine Bar,4.6,41.9833723,-87.6685482,restaurant
Lola Adang's Kusina,4.6,42.3164074,-87.8654645,restaurant
the Albert,4.5,41.8936097,-87.6215573,restaurant
Northern Taste,4.5,41.8321726,-87.6459874,restaurant
Big Bowl,4.2,41.8926642,-87.625772,restaurant
Rica Arepa | Venezuelan Restaurant,4.7,41.9348578,-87.6615496,restaurant
